data e hora,Dióxido de Nitrogênio
21/01/2023 04:30:00,17.59
21/01/2023 05:30:00,15.52
21/01/2023 06:30:00,12.28
21/01/2023 07:30:00,8.81
21/01/2023 08:30:00,15.10
21/01/2023 09:30:00,11.80
21/01/2023 10:30:00,11.88
21/01/2023 11:30:00,14.56
21/01/2023 12:30:00,15.58
21/01/2023 13:30:00,21.62
21/01/2023 14:30:00,33.32
21/01/2023 15:30:00,25.39
21/01/2023 16:30:00,19.15
21/01/2023 17:30:00,21.03
21/01/2023 18:30:00,12.50
21/01/2023 19:30:00,16.87
21/01/2023 20:30:00,26.87
21/01/2023 21:30:00,28.82
21/01/2023 22:30:00,20.54
21/01/2023 23:30:00,21.68
22/01/2023 00:30:00,18.71
22/01/2023 01:30:00,9.31
22/01/2023 02:30:00,5.35
22/01/2023 03:30:00,8.85
22/01/2023 04:30:00,4.97
22/01/2023 05:30:00,10.59
22/01/2023 06:30:00,16.99
22/01/2023 07:30:00,8.35
22/01/2023 08:30:00,8.21
22/01/2023 09:30:00,7.50
22/01/2023 10:30:00,6.67
22/01/2023 11:30:00,7.32
22/01/2023 12:30:00,10.56
22/01/2023 13:30:00,32.97
22/01/2023 14:30:00,32.42
22/01/2023 15:30:00,15.33
22/01/2023 16:30:00,11.26
22/01/2023 17:30:00,21.79
22/01/2023 18:30:00,22.89
22/01/2023 19:30:00,18.62
22/01/2023 20:30:00,30.19
22/01/2023 21:30:00,28.33
22/01/2023 22:30:00,15.37
22/01/2023 23:30:00,13.51
23/01/2023 00:30:00,8.51
23/01/2023 01:30:00,31.71
23/01/2023 02:30:00,22.08
23/01/2023 03:30:00,12.13
23/01/2023 04:30:00,13.56
23/01/2023 05:30:00,15.43
23/01/2023 06:30:00,15.23
23/01/2023 07:30:00,16.13
23/01/2023 08:30:00,19.07
23/01/2023 09:30:00,18.25
23/01/2023 10:30:00,16.33
23/01/2023 11:30:00,16.65
23/01/2023 12:30:00,13.21
23/01/2023 13:30:00,18.48
23/01/2023 14:30:00,14.45
23/01/2023 15:30:00,19.24
23/01/2023 16:30:00,29.25
23/01/2023 17:30:00,26.88
23/01/2023 18:30:00,27.15
23/01/2023 19:30:00,23.26
23/01/2023 20:30:00,28.87
23/01/2023 21:30:00,24.58
23/01/2023 22:30:00,15.58
23/01/2023 23:30:00,8.99
24/01/2023 00:30:00,8.85
24/01/2023 01:30:00,8.26
24/01/2023 02:30:00,9.40
24/01/2023 03:30:00,18.92
24/01/2023 04:30:00,12.39
24/01/2023 05:30:00,30.01
24/01/2023 06:30:00,47.20
24/01/2023 07:30:00,37.43
24/01/2023 08:30:00,33.76
24/01/2023 09:30:00,28.19
24/01/2023 10:30:00,19.72
24/01/2023 11:30:00,13.52
24/01/2023 12:30:00,10.49
24/01/2023 13:30:00,11.60
24/01/2023 14:30:00,07.05
24/01/2023 15:30:00,10.07
24/01/2023 16:30:00,16.31
24/01/2023 17:30:00,19.74
24/01/2023 18:30:00,21.04
24/01/2023 19:30:00,25.10
24/01/2023 20:30:00,27.24
24/01/2023 21:30:00,21.60
24/01/2023 22:30:00,17.74
24/01/2023 23:30:00,17.54
25/01/2023 00:30:00,11.15
25/01/2023 01:30:00,07.05
25/01/2023 02:30:00,6.51
25/01/2023 03:30:00,7.38
25/01/2023 04:30:00,26.45
25/01/2023 05:30:00,19.64
25/01/2023 06:30:00,30.41
25/01/2023 07:30:00,30.80
25/01/2023 08:30:00,32.19
25/01/2023 09:30:00,30.99
25/01/2023 10:30:00,30.87
25/01/2023 11:30:00,31.63
25/01/2023 12:30:00,34.07
25/01/2023 13:30:00,23.73
25/01/2023 14:30:00,24.05
25/01/2023 15:30:00,28.80
25/01/2023 16:30:00,31.44
25/01/2023 17:30:00,27.08
25/01/2023 18:30:00,25.77
25/01/2023 19:30:00,35.28
25/01/2023 20:30:00,45.05
25/01/2023 21:30:00,34.76
25/01/2023 22:30:00,28.97
25/01/2023 23:30:00,24.79
26/01/2023 00:30:00,17.40
26/01/2023 01:30:00,11.11
26/01/2023 02:30:00,9.52
26/01/2023 03:30:00,9.84
26/01/2023 04:30:00,11.38
26/01/2023 05:30:00,16.59
26/01/2023 06:30:00,29.49
26/01/2023 07:30:00,23.97
26/01/2023 08:30:00,30.07
26/01/2023 09:30:00,27.34
26/01/2023 10:30:00,18.62
26/01/2023 11:30:00,12.80
26/01/2023 12:30:00,9.14
26/01/2023 13:30:00,9.62
26/01/2023 14:30:00,13.08
26/01/2023 15:30:00,21.02
26/01/2023 16:30:00,21.27
26/01/2023 17:30:00,17.33
26/01/2023 18:30:00,28.84
26/01/2023 19:30:00,35.21
26/01/2023 20:30:00,32.05
26/01/2023 21:30:00,25.80
26/01/2023 22:30:00,29.22
